GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mutantes,uy.com.minza.mutantes.service.domain,OverallStatus.OverallStatusBuilder,51,26,0,0,0,1,7,3,7,3
mutantes,uy.com.minza.mutantes.service.domain,EvaluationSectionStatus.EvaluationSectionStatusBuilder,23,13,0,0,0,1,4,2,4,2
mutantes,uy.com.minza.mutantes.service.domain,OverallStatus,5,346,2,20,1,54,3,29,1,20
mutantes,uy.com.minza.mutantes.service.domain,EvaluationSectionStatus,8,89,0,4,1,23,1,13,1,11
mutantes,uy.com.minza.mutantes.utils.validation,SquareMatrixValidator,0,19,0,2,0,3,0,5,0,4
mutantes,uy.com.minza.mutantes.utils.validation,MatrixEntriesValidator,0,35,0,2,0,7,0,5,0,4
mutantes,uy.com.minza.mutantes.repository,StatsRepository,0,88,1,7,0,16,1,8,0,5
mutantes,uy.com.minza.mutantes,MutantsApplication,7,40,0,4,3,11,1,8,1,6
mutantes,uy.com.minza.mutantes.controller,StatsController,0,16,0,0,0,5,0,2,0,2
mutantes,uy.com.minza.mutantes.controller,MutantController,0,26,0,2,0,7,0,3,0,2
mutantes,uy.com.minza.mutantes.error.handler,RestExceptionHandler,16,245,0,0,3,89,1,16,1,16
mutantes,uy.com.minza.mutantes.config,SwaggerConfig,0,44,0,0,0,11,0,3,0,3
mutantes,uy.com.minza.mutantes.config,MongoConfig,0,3,0,0,0,1,0,1,0,1
mutantes,uy.com.minza.mutantes.config,AsyncConfig,0,39,0,0,0,13,0,3,0,3
mutantes,uy.com.minza.mutantes.config,CachingConfig,0,21,0,0,0,2,0,2,0,2
mutantes,uy.com.minza.mutantes.error.dto,APIErrorItem.APIErrorItemBuilder,0,27,0,0,0,1,0,5,0,5
mutantes,uy.com.minza.mutantes.error.dto,APIError.APIErrorBuilder,0,54,0,0,0,1,0,8,0,8
mutantes,uy.com.minza.mutantes.error.dto,APIError,25,225,18,22,0,12,14,23,0,17
mutantes,uy.com.minza.mutantes.error.dto,APIErrorItem,16,112,10,12,0,6,9,13,0,11
mutantes,uy.com.minza.mutantes.domain,DNA,23,177,14,18,0,8,13,18,0,15
mutantes,uy.com.minza.mutantes.domain,Stats.StatsBuilder,10,35,0,0,0,1,1,6,1,6
mutantes,uy.com.minza.mutantes.domain,DNA.DNABuilder,11,35,0,0,0,1,1,6,1,6
mutantes,uy.com.minza.mutantes.domain,Stats,32,182,22,16,0,10,18,16,0,15
mutantes,uy.com.minza.mutantes.dto,StatsResultsDTO.StatsResultsDTOBuilder,0,36,0,0,0,1,0,6,0,6
mutantes,uy.com.minza.mutantes.dto,DNADTO,4,63,2,6,0,4,2,10,0,8
mutantes,uy.com.minza.mutantes.dto,StatsResultsDTO,10,112,5,7,0,7,5,14,0,13
mutantes,uy.com.minza.mutantes.service,UpdaterService,0,31,0,2,0,8,0,3,0,2
mutantes,uy.com.minza.mutantes.service,StatsService,7,81,4,6,1,22,4,5,0,4
mutantes,uy.com.minza.mutantes.service,MutantService,0,22,0,0,0,7,0,2,0,2
mutantes,uy.com.minza.mutantes.service,ADNCheckService,0,43,0,2,0,12,0,4,0,3
mutantes,uy.com.minza.mutantes.service,HistoricADNService,0,27,0,2,0,7,0,3,0,2
mutantes,uy.com.minza.mutantes.error.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
mutantes,uy.com.minza.mutantes.error.exception,MutantException,0,4,0,0,0,2,0,1,0,1
mutantes,uy.com.minza.mutantes.utils,StringUtils,2,31,1,3,1,5,1,3,0,2
